distance,tick,phi,ineye,target1,theta,target2,event_name,match_id
96,74547,-20,1,12,-30,8,hltv_chase,c3ddd683
96,74937,-20,1,12,-30,2,hltv_chase,c3ddd683
112,75271,20,1,12,20,3,hltv_chase,c3ddd683
96,75783,-20,1,6,30,0,hltv_chase,c3ddd683
96,76133,-20,1,4,30,0,hltv_chase,c3ddd683
96,76329,-20,1,8,30,0,hltv_chase,c3ddd683
112,76819,20,1,9,20,2,hltv_chase,c3ddd683
96,77203,-20,1,6,30,0,hltv_chase,c3ddd683
96,77611,-20,1,4,30,0,hltv_chase,c3ddd683
96,77805,-20,1,5,30,13,hltv_chase,c3ddd683
96,78243,-20,1,12,30,0,hltv_chase,c3ddd683
112,78675,20,1,11,20,13,hltv_chase,c3ddd683
96,79059,-20,1,6,30,9,hltv_chase,c3ddd683
96,79613,-20,1,6,30,0,hltv_chase,c3ddd683
112,79947,20,1,6,-20,0,hltv_chase,c3ddd683
96,80331,-20,1,13,-30,11,hltv_chase,c3ddd683
112,80543,20,1,12,20,8,hltv_chase,c3ddd683
96,80927,-20,1,4,-30,2,hltv_chase,c3ddd683
96,81229,-20,1,3,30,0,hltv_chase,c3ddd683
112,81467,20,1,4,-20,3,hltv_chase,c3ddd683
96,81851,-20,1,12,30,8,hltv_chase,c3ddd683
112,82247,20,1,3,20,0,hltv_chase,c3ddd683
96,82758,-20,1,11,30,0,hltv_chase,c3ddd683
96,82990,-20,1,11,30,0,hltv_chase,c3ddd683
96,83402,-20,1,8,30,0,hltv_chase,c3ddd683
96,83620,-20,1,4,30,0,hltv_chase,c3ddd683
112,83992,20,1,8,20,9,hltv_chase,c3ddd683
96,84376,-20,1,5,30,6,hltv_chase,c3ddd683
96,84856,-20,1,4,30,0,hltv_chase,c3ddd683
96,85168,-20,1,13,30,0,hltv_chase,c3ddd683
96,85508,-20,1,4,30,9,hltv_chase,c3ddd683
96,86012,-20,1,9,-30,4,hltv_chase,c3ddd683
112,86390,20,1,6,20,3,hltv_chase,c3ddd683
96,86774,-20,1,8,30,0,hltv_chase,c3ddd683
96,87054,-20,1,12,30,0,hltv_chase,c3ddd683
96,87450,-20,1,2,30,0,hltv_chase,c3ddd683
96,87682,-20,1,12,30,0,hltv_chase,c3ddd683
112,88076,20,1,8,-20,9,hltv_chase,c3ddd683
96,88460,-20,1,11,30,0,hltv_chase,c3ddd683
112,88824,20,1,2,20,5,hltv_chase,c3ddd683
96,89208,-20,1,12,30,0,hltv_chase,c3ddd683
112,89508,20,1,2,20,8,hltv_chase,c3ddd683
96,89892,-20,1,13,-30,9,hltv_chase,c3ddd683
96,90318,-20,1,3,-30,11,hltv_chase,c3ddd683
96,90746,-20,1,6,30,2,hltv_chase,c3ddd683
112,91036,20,1,5,-20,13,hltv_chase,c3ddd683
96,91548,-20,1,4,30,0,hltv_chase,c3ddd683
96,92023,-20,1,6,30,0,hltv_chase,c3ddd683
96,92351,-20,1,9,30,0,hltv_chase,c3ddd683
96,92677,-20,1,11,30,0,hltv_chase,c3ddd683
112,93009,20,1,6,-20,12,hltv_chase,c3ddd683
96,93393,-20,1,6,-30,5,hltv_chase,c3ddd683
96,93829,-20,1,9,30,0,hltv_chase,c3ddd683
96,94187,-20,1,2,-30,4,hltv_chase,c3ddd683
96,94735,-20,1,6,-30,5,hltv_chase,c3ddd683
112,95127,20,1,11,20,13,hltv_chase,c3ddd683
112,95511,20,1,2,-20,8,hltv_chase,c3ddd683
96,95895,-20,1,3,-30,11,hltv_chase,c3ddd683
96,96397,-20,1,3,30,5,hltv_chase,c3ddd683
112,96593,20,1,2,20,8,hltv_chase,c3ddd683
112,96977,20,1,2,20,8,hltv_chase,c3ddd683
112,97361,20,1,2,-20,8,hltv_chase,c3ddd683
112,97745,20,1,9,20,5,hltv_chase,c3ddd683
96,98129,-20,1,3,-30,9,hltv_chase,c3ddd683
112,98349,20,1,3,20,0,hltv_chase,c3ddd683
96,98733,-20,1,3,30,0,hltv_chase,c3ddd683
96,99303,-20,1,8,30,0,hltv_chase,c3ddd683
112,99793,20,1,2,20,8,hltv_chase,c3ddd683
112,100177,20,1,8,20,2,hltv_chase,c3ddd683
96,100688,-20,1,6,30,0,hltv_chase,c3ddd683
112,100982,20,1,2,20,11,hltv_chase,c3ddd683
96,101366,-20,1,9,30,0,hltv_chase,c3ddd683
96,101734,-20,1,6,30,0,hltv_chase,c3ddd683
96,102224,-20,1,6,30,0,hltv_chase,c3ddd683
96,102578,-20,1,12,30,0,hltv_chase,c3ddd683
96,102772,-20,1,13,30,0,hltv_chase,c3ddd683
96,103116,-20,1,13,30,0,hltv_chase,c3ddd683
96,103518,-20,1,8,30,0,hltv_chase,c3ddd683
96,103822,-20,1,6,30,11,hltv_chase,c3ddd683
96,104222,-20,1,6,30,0,hltv_chase,c3ddd683
96,104456,-20,1,2,-30,13,hltv_chase,c3ddd683
96,104908,-20,1,2,30,0,hltv_chase,c3ddd683
112,105190,20,1,12,-20,9,hltv_chase,c3ddd683
96,105574,-20,1,5,-30,4,hltv_chase,c3ddd683
96,106042,-20,1,5,30,3,hltv_chase,c3ddd683
96,106612,-20,1,5,30,12,hltv_chase,c3ddd683
112,107102,20,1,9,-20,8,hltv_chase,c3ddd683
96,107615,-20,1,6,30,0,hltv_chase,c3ddd683
96,107813,-20,1,2,30,0,hltv_chase,c3ddd683
96,108373,-20,1,6,30,0,hltv_chase,c3ddd683
112,108743,20,1,11,-20,2,hltv_chase,c3ddd683
96,109127,-20,1,8,30,0,hltv_chase,c3ddd683
96,109415,-20,1,8,30,3,hltv_chase,c3ddd683
96,109971,-20,1,8,-30,12,hltv_chase,c3ddd683
96,110193,-20,1,5,30,6,hltv_chase,c3ddd683
112,110549,20,1,5,20,9,hltv_chase,c3ddd683
112,110933,20,1,9,20,5,hltv_chase,c3ddd683
96,111317,-20,1,4,30,9,hltv_chase,c3ddd683
112,111857,20,1,5,-20,11,hltv_chase,c3ddd683
96,112369,-20,1,13,30,0,hltv_chase,c3ddd683
96,112693,-20,1,9,30,0,hltv_chase,c3ddd683
112,113269,20,1,13,-20,6,hltv_chase,c3ddd683
96,113653,-20,1,2,30,0,hltv_chase,c3ddd683
96,113919,-20,1,6,30,0,hltv_chase,c3ddd683
96,114281,-20,1,5,-30,4,hltv_chase,c3ddd683
112,114789,20,1,6,-20,12,hltv_chase,c3ddd683
96,115173,-20,1,6,30,0,hltv_chase,c3ddd683
112,115459,20,1,2,-20,8,hltv_chase,c3ddd683
96,115843,-20,1,13,30,11,hltv_chase,c3ddd683
96,116213,-20,1,9,-30,13,hltv_chase,c3ddd683
96,116441,-20,1,9,30,3,hltv_chase,c3ddd683
96,116905,-20,1,3,-30,8,hltv_chase,c3ddd683
96,117249,-20,1,3,30,8,hltv_chase,c3ddd683
96,117707,-20,1,12,-30,2,hltv_chase,c3ddd683
112,118231,20,1,3,-20,6,hltv_chase,c3ddd683
112,118615,20,1,3,20,6,hltv_chase,c3ddd683
112,118999,20,1,3,-20,6,hltv_chase,c3ddd683
96,119511,-20,1,13,30,0,hltv_chase,c3ddd683
112,119979,20,1,9,-20,8,hltv_chase,c3ddd683
96,120363,-20,1,2,30,0,hltv_chase,c3ddd683
112,120667,20,1,8,20,2,hltv_chase,c3ddd683
112,121051,20,1,2,20,8,hltv_chase,c3ddd683
112,121435,20,1,4,-20,6,hltv_chase,c3ddd683
112,121819,20,1,2,-20,8,hltv_chase,c3ddd683
112,122203,20,1,11,20,9,hltv_chase,c3ddd683
112,122587,20,1,2,-20,8,hltv_chase,c3ddd683
96,122971,-20,1,6,30,9,hltv_chase,c3ddd683
96,123475,-20,1,3,30,11,hltv_chase,c3ddd683
96,124031,-20,1,13,30,8,hltv_chase,c3ddd683
96,124369,-20,1,12,30,5,hltv_chase,c3ddd683
112,124751,20,1,3,-20,13,hltv_chase,c3ddd683
96,125263,-20,1,12,30,0,hltv_chase,c3ddd683
96,125651,-20,1,6,30,0,hltv_chase,c3ddd683
96,125899,-20,1,4,30,0,hltv_chase,c3ddd683
112,126291,20,1,3,-20,6,hltv_chase,c3ddd683
112,126675,20,1,12,-20,4,hltv_chase,c3ddd683
96,127059,-20,1,12,30,0,hltv_chase,c3ddd683
112,127319,20,1,11,20,8,hltv_chase,c3ddd683
112,127703,20,1,6,-20,4,hltv_chase,c3ddd683
96,128087,-20,1,5,-30,4,hltv_chase,c3ddd683
